Genre,Count,Replacement
2 Tone,1,Null
A Cappella,1,Null
Acid Jazz,1,"Funk, Jazz"
Album Oriented Rock,1,Rock
Alterlatino,1,Alternative Rock
Alternative Music,1,Null
Alternative R&B,1,R&B
Ambient Rock,1,Post Rock
Anarcho Punk,1,Punk Rock
Atmospheric Alternative/Electronic Rock,1,"Electronic, Rock"
Aussie Rock,1,Rock
Australian Hip Hop,1,Hip Hop
Avant Punk,1,Punk Rock
Avant Rock,1,Experimental Rock
Balkan,1,Null
Bebop,1,Jazz
Bedroom Pop,1,Pop
Big Band,1,"Jazz, Blues"
Black Rock,1,Rock
Blackened Death Metal,1,Heavy Metal
British Blues,1,Blues
British Rock And Roll,1,Rock And Roll
Brown Eyed Soul,1,Soul
Cabaret,1,Null
California Sound,1,Null
Canterbury Scene,1,Null
Carnatic Music,1,Null
Cello Rock,1,Rock
Celtic Rock,1,Rock
Chamber Folk,1,Folk
Chamber Music,1,Classical
Chanson,1,Null
Children'S Music,1,Null
Chill Out,1,Null
Chillwave,1,Null
Christian Hip Hop,1,Hip Hop
Christmas,1,Null
Classic Rock,1,Rock
Classical Crossover,1,Pop
Classical Music,1,Classical
Comedy Punk,1,Null
Contemporary Christian Music,1,Null
Country Music,1,Country
Crossover Thrash,1,Heavy Metal
Crunkcore,1,Null
Dancehall,1,Null
Dark Cabaret,1,Null
Dark Wave,1,Null
Death/Doom,1,Heavy Metal
Deathcore,1,Heavy Metal
Disco Pop,1,Pop
Doom/Death Metal,1,Heavy Metal
Downtempo,1,Hip Hop
Dub,1,"Electronic, Reggae"
Dutch House,1,Null
Easycore,1,Pop Punk
Ebm,1,Electronic
Electro Dream Pop,1,Pop
Electro Funk,1,Funk
Electro Pop,1,Pop
Electro Rock,1,Rock
Electronic Body Music,1,Electronic
Europop,1,Pop
Film Score,1,Null
Folk Blues,1,"Folk, Blues"
Freak Folk,1,Folk
French House,1,Null
Fusion,1,Null
Garage,1,Garage Rock
German Rock,1,Rock
Gulf And Western,1,Null
Gypsy Punk,1,Punk Rock
Hauntology,1,Null
Heavy Metal Music,1,Heavy Metal
Horrorcore,1,Hip Hop
Hypnagogic Pop,1,Pop
Idm,1,Null
Indian Classical,1,Classical
Indian Pop,1,Pop
Indie R&B,1,R&B
Indiepop,1,Pop
Electronic,1,Electronic
Instrumental,1,Null
J Pop,1,Pop
Jam,1,Null
Jazz Music,1,Jazz
Jazz Rap,1,"Jazz, Hip Hop"
Jesus Music,1,Null
Klezmer,1,Null
Latin Alternative,1,Alternative Rock
Latin Hip Hop,1,Hip Hop
Latin Pop,1,Pop
Lounge,1,Null
Lspeed Metal,1,Heavy Metal
Madchester,1,Null
Mafioso Rap,1,Hip Hop
Mathcore,1,Metal
Melodic Metalcore,1,Metal
Melodic Rock,1,Hard Rock
Mexican Rock,1,Rock
Midwest Hip Hop,1,Hip Hop
Minimalism,1,Null
Mod Revival,1,Null
Mor,1,Null
Musical Theatre,1,Null
Neoclassical,1,Classical
New Acoustic,1,Rock
New Prog,1,Progressive Rock
New Rave,1,Null
New Wave Revival,1,Post Punk
Noise Folk,1,Folk
Northwest Hip Hop,1,Hip Hop
Nu Disco,1,Null
Occult Rock,1,Rock
Oi!,1,Punk Rock
Opm,1,Null
Orchestral Pop,1,Pop
Palingsound,1,Pop
Piano Rock,1,Rock
Pinoy Rock,1,Rock
Pop Country,1,"Pop, Country"
Post Bop,1,Jazz
Post Dubstep,1,Null
Post Rockpost Metal,1,"Post Rock, Metal"
Power Metal,1,Metal
Progressive,1,Null
Progressive Bluegrass,1,"Country, Folk, Blues"
Progressive Death Metal,1,Heavy Metal
Progressive Folk,1,Folk
